datetime, Max, Min, Average
01/18/2017 11, -999, -999, -999, 
01/18/2017 12, -999, -999, -999, 
01/18/2017 13, 77.5999984741, -999, -945.673333358765, 
01/18/2017 14, -999, -999, -999, 
01/18/2017 15, 110.5, -999, -521.6690909298927, 
01/18/2017 16, 81.1999969482, 29.6000003815, 50.73999993006, 
01/18/2017 17, 104.400001526, 57.5999984741, 79.58833300272336, 
01/18/2017 18, 181.600006104, 77.9000015259, 111.42999954223002, 
01/18/2017 19, 195.300003052, 152.5, 176.36500015259995, 
01/18/2017 20, 221, 148, 180.35666631060002, 
01/18/2017 21, 224, 193.199996948, 210.07500025433333, 
01/18/2017 22, 227, 195.199996948, 212.23499933873336, 
01/18/2017 23, 204.600006104, 145, 178.93166707360004, 
01/19/2017 00, 174.800003052, 112.300003052, 146.7066672007667, 
01/19/2017 01, 123.400001526, 103.099998474, 111.18000030519997, 
01/19/2017 02, 131.800003052, 101.199996948, 111.77333297726668, 
01/19/2017 03, 116.400001526, 92.1999969482, 100.69666646321497, 
01/19/2017 04, 125.5, 84.8000030518, 98.82833328247497, 
01/19/2017 05, 152.300003052, 107.5, 129.6416657765, 
01/19/2017 06, 291, 144.300003052, 195.76166636144998, 
01/19/2017 07, 267.600006104, 172.600006104, 219.4699999491, 
01/19/2017 08, 239.899993896, 195.600006104, 211.67666625973334, 
01/19/2017 09, 257, 165.699996948, 206.9183329264, 
01/19/2017 10, 185.699996948, 127.699996948, 159.2349998474, 
01/19/2017 11, 175.300003052, 125.599998474, 141.99333394373332, 
01/19/2017 12, 130.800003052, 26.2000007629, 58.79666668575337, 
01/19/2017 13, 52.2999992371, 21.7999992371, 29.72500003178833, 
01/19/2017 14, 62, 20.8999996185, 28.954999923706666, 
01/19/2017 15, 39.7000007629, 19.2000007629, 25.36500008900999, 
01/19/2017 16, 44.0999984741, 18, 24.304999828343334, 
01/19/2017 17, 86.4000015259, 31.2000007629, 52.538333288828326, 
01/19/2017 18, 96.1999969482, 51.0999984741, 67.08333358766002, 
01/19/2017 19, 312.100006104, 68.0999984741, 167.73000068670342, 
01/19/2017 20, 295.700012207, 204.800003052, 246.68666585284993, 
01/19/2017 21, 381, 166.899993896, 226.44833323154998, 
01/19/2017 22, 224, 148.699996948, 173.85166625973335, 
01/19/2017 23, 193.300003052, 132.600006104, 144.78666585279998, 
01/20/2017 00, 160.699996948, 116.199996948, 128.2733339946, 
01/20/2017 01, 123.5, 84.9000015259, 100.04166679382499, 
01/20/2017 02, 103.599998474, 83.6999969482, 94.05166600544003, 
01/20/2017 03, 93.6999969482, 71.8000030518, 81.95166676839337, 
01/20/2017 04, 102.300003052, 72.8000030518, 85.183333460495, 
01/20/2017 05, 171.100006104, 95.1999969482, 123.88000005087166, 
01/20/2017 06, 229.5, 118, 177.1766665140667, 
01/20/2017 07, 203.699996948, 148.800003052, 176.7616658528, 
01/20/2017 08, 272.5, 191.399993896, 211.33999964393328, 
01/20/2017 09, 224.199996948, 170.100006104, 193.41500091560002, 
01/20/2017 10, 295.399993896, 168, 183.93499933875, 
01/20/2017 11, 265.600006104, 128, 159.87666727706667, 
01/20/2017 12, 164.199996948, 98.4000015259, 124.301666895565, 
01/20/2017 13, 165.399993896, 23.3999996185, 61.02833331426334, 
